,id,name,categories,lat,lng,neighborhood,distance [m],postal code,price
0,52d9009c11d2079ba506dca1,The East End,Pakistani Restaurant,24.830433,67.03843,"CC-2, Block 8, Clifton",5915,75600,4500
1,4b5fdbf6f964a520f9ce29e3,Bar-B-Q Tonight,Pakistani Restaurant,24.8162007,67.0211808,"Com 5/1, Sh-e-Firdousi, Boat Basin, Clifton Block-5 (Khayaban-e-Saadi, opp. Bilawal Chowrangi)",5868,75600,5000
2,4b5d5cc1f964a520d85a29e3,Shaikh Abdul Ghaffar Kabab House,Pakistani Restaurant,24.87673769,67.06596852,Off Shaheed-e-Millat Rd (Delhi Mercantile Housing Society),7821,75400,3500
3,4e189aa56284ea7246fa36c6,The Pakistani,Indian Restaurant,24.84642899,67.02630315,Club Road,3961,75530,4500
4,4cb026cd562d224b511a1488,Mirchili,Pakistani Restaurant,24.79919334,67.04630865,"Shop 1&2, 15-C, Badar Commercial Area, Phase 5, DHA (Khayaban-e-Badar)",8892,75500,5000
5,4c1feb4cfec3b713d9c2bec6,Zahid Nihari,Pakistani Restaurant,24.86845517,67.05780614,Tariq Road,6848,75401,4500
6,4b8b3a6cf964a520919832e3,Boat Basin,Street Food Gathering,24.82682077,67.02577417,Kh-e-Saadi (Kh-e-Roomi),5209,75500,5000
7,55b28066498e3047846f7623,KhanJi,Pakistani Restaurant,24.80739534,67.03476698,"F-44/2, Block-4 Scheme-5 Clifton, Karachi, Pakistan",7453,75600,4000
8,572e18be498e1f3061765e99,Kolachi,Pakistani Restaurant,24.82363829,67.03555838,Ocean Mall,6163,75600,3500
9,4dc2e160ae60966750b50421,Tandoori Hut,Pakistani Restaurant,24.82599914,67.02555454,Main Boat Basin,5262,75600,4500
10,4baa4c67f964a520685c3ae3,Waheed Kebab House,Pakistani Restaurant,24.85674048,67.01659162,Burns Road,2676,75500,2000
11,4da3516f7aee54819699e7fe,Sajjad Restaurant,Pakistani Restaurant,24.7842366,67.07375951,DHA Phase 8,11988,75500,5500
12,4bfd4882bf6576b00a02adb8,Salt  n Pepper Village,Pakistani Restaurant,24.77828209,67.05418921,Beach Ave,11230,75500,6000
13,4c4357152d3ec9b6b75d2dae,Mateen Foods,Pakistani Restaurant,24.94954461,67.04988867,North Nazimabad (Near Skahi Hassan),11540,74600,2500
14,4c76ec83411c9c74dbdc14e2,Rangoli,Pakistani Restaurant,24.88748431,67.08959984,"Arena, Karsaz Rd",10434,75350,4000
15,4e1c712362e147e54f5252e1,Ghaffar Kabab House,BBQ Joint,24.84254225,66.98957672,"Port Grand, Native Jetty Bridge (M. T. Khan Rd)",2053,74000,6000
16,54736832498ef869314448a1,Malik Nihari,Pakistani Restaurant,24.87990397,67.07158359,Alamgir Road,8455,75550,4500
17,4bd16f6ab221c9b64f83d5d0,Mazedar Foods,Pakistani Restaurant,24.94431137,67.0737805,F.B.Area block 18,12521,75950,2500
18,4f91458fe4b04fef006591d0,Madni Biryani House,Pakistani Restaurant,24.95509025,67.06701888,"Sector 15-A/5, Bufferzone, (North Nazimbad Town)",13018,75850,2000
19,4d161e0ccc216ea8d58567d3,Chandni,Pakistani Restaurant,24.84746814,67.02548828,"Pearl Continental, Club Rd",3840,75520,15000
20,4bb38eb0a32876b04ce001fe,Shaheen Shanwari,Pakistani Restaurant,24.89776309,67.11758378,"Gulistan-e-Johar, Rashid Minhas Road",13471,75950,3000
